genestableid,gene_name,gene_description,disagreement,prob_equal_ortho_adj,similarity
"ENSMUSG00000000303","cdh1","cadherin 1",.7431833,.490229,"Same"
"ENSMUSG00000000305","cdh4","cadherin 4",1.142778,.5929977,"Same"
"ENSMUSG00000000317","bcl6b","b cell cll/lymphoma 6 member b",.5205471,.6286702,"Same"
"ENSMUSG00000000325","arvcf","armadillo repeat gene deleted in velocardiofacial syndrome",1.239671,.1957467,"Same"
"ENSMUSG00000000326","comt","catechol o methyltransferase",.0831937,.9262763,"Same"
"ENSMUSG00000000339","rtca","rna 3' terminal phosphate cyclase",1.654317,.024295,"Different"
"ENSMUSG00000000346","dazap2","daz associated protein 2",1.068533,.0004461,"Different"
"ENSMUSG00000000378","ccm2","cerebral cavernous malformation 2",1.307509,.4613053,"Same"
"ENSMUSG00000000384","tbrg4","transforming growth factor beta regulated gene 4",.0294271,.9270103,"Same"
"ENSMUSG00000000392","fap","fibroblast activation protein",1.229838,.4573238,"Same"
"ENSMUSG00000000416","cttnbp2","cortactin binding protein 2",1.207676,.0983585,"Same"
"ENSMUSG00000000420","galnt1","polypeptide n acetylgalactosaminyltransferase 1",1.289228,.332933,"Same"
"ENSMUSG00000000439","mkrn2","makorin ring finger protein 2",1.457356,.0695428,"Same"
"ENSMUSG00000000440","pparg","peroxisome proliferator activated receptor gamma",.0052791,.9592049,"Same"
"ENSMUSG00000000441","raf1","v raf leukemia viral oncogene 1",.0121176,.9592049,"Same"
"ENSMUSG00000000489","pdgfb","platelet derived growth factor b polypeptide",.0410269,.8881584,"Same"
"ENSMUSG00000000531","grasp","grp1 general receptor for phosphoinositides 1 associated scaffold protein",.0054037,.9602688,"Same"
"ENSMUSG00000000532","acvr1b","activin a receptor type 1b",1.033545,.6286702,"Same"
"ENSMUSG00000000538","tom1l2","target of myb1 like 2 chicken ",.033571,.9394665,"Same"
"ENSMUSG00000000552","zfp385a","zinc finger protein 385a",.0064911,.9592049,"Same"
"ENSMUSG00000000555","itga5","integrin alpha 5 fibronectin receptor alpha ",.4107037,.8746549,"Same"
"ENSMUSG00000000560","gabra2","gamma aminobutyric acid gaba a receptor subunit alpha 2",.000178,.9592049,"Same"
"ENSMUSG00000000561","wdr77","wd repeat domain 77",.1794148,.8989379,"Same"
"ENSMUSG00000000563","atp5f1","atp synthase h+ transporting mitochondrial f0 complex subunit b1",1.641818,.1994331,"Same"
"ENSMUSG00000000567","sox9","sry sex determining region y box 9",.0117115,.9592049,"Same"
"ENSMUSG00000000568","hnrnpd","heterogeneous nuclear ribonucleoprotein d",.0005981,.9644368,"Same"
"ENSMUSG00000000594","gm2a","gm2 ganglioside activator protein",1.615226,.0290658,"Different"
"ENSMUSG00000000600","krit1","krit1 ankyrin repeat containing",.2483031,.8776925,"Same"
"ENSMUSG00000000605","clcn4","chloride channel voltage sensitive 4",.0659218,.9101785,"Same"
"ENSMUSG00000000627","sema4f","sema domain immunoglobulin domain ig tm domain and short cytoplasmic domain",.000377,.9592049,"Same"
"ENSMUSG00000000628","hk2","hexokinase 2",.0177318,.9592049,"Same"
"ENSMUSG00000000632","sez6","seizure related gene 6",.0428184,.9592049,"Same"
"ENSMUSG00000000693","loxl3","lysyl oxidase like 3",.1280925,.9262763,"Same"
"ENSMUSG00000000751","rpa1","replication protein a1",.168371,.8740448,"Same"
"ENSMUSG00000000753","serpinf1","serine or cysteine peptidase inhibitor clade f member 1",.0894981,.9375608,"Same"
"ENSMUSG00000000759","tubgcp3","tubulin gamma complex associated protein 3",.0114605,.9592049,"Same"
"ENSMUSG00000000776","polr3d","polymerase rna iii dna directed polypeptide d",.4755565,.6470083,"Same"
"ENSMUSG00000000782","tcf7","transcription factor 7 t cell specific",.0361152,.9122854,"Same"
"ENSMUSG00000000805","car4","carbonic anhydrase 4",.0008465,.9628192,"Same"
"ENSMUSG00000000811","txnrd3","thioredoxin reductase 3",1.067098,.0272285,"Different"
"ENSMUSG00000000823","zfp512b","zinc finger protein 512b",.3927662,.7157368,"Same"
"ENSMUSG00000000826","dnajc5","dnaj heat shock protein family hsp40 member c5",.0196779,.9592049,"Same"
"ENSMUSG00000000861","bcl11a","b cell cll/lymphoma 11a zinc finger protein ",.0194172,.8915315,"Same"
"ENSMUSG00000000881","dlg3","discs large maguk scaffold protein 3",.0502908,.9592049,"Same"
"ENSMUSG00000000901","mmp11","matrix metallopeptidase 11",.0006407,.9592049,"Same"
"ENSMUSG00000000902","smarcb1","swi/snf related matrix associated actin dependent regulator of chromatin subfamily b member 1",.0273613,.8776925,"Same"
"ENSMUSG00000000915","hip1r","huntingtin interacting protein 1 related",1.057326,.6404407,"Same"
"ENSMUSG00000000957","mmp14","matrix metallopeptidase 14 membrane inserted ",.925974,.7136225,"Same"
"ENSMUSG00000000959","oxa1l","oxidase assembly 1 like",1.806634,.147512,"Same"
"ENSMUSG00000000976","heatr6","heat repeat containing 6",1.505493,.3773911,"Same"
"ENSMUSG00000001016","ilf2","interleukin enhancer binding factor 2",.0008714,.9592049,"Same"
"ENSMUSG00000001017","chtop","chromatin target of prmt1",.8175838,.7703393,"Same"
"ENSMUSG00000001025","s100a6","s100 calcium binding protein a6 calcyclin ",.0121537,.9592049,"Same"
"ENSMUSG00000001029","icam2","intercellular adhesion molecule 2",1.09222,.0008823,"Different"
"ENSMUSG00000001034","mapk7","mitogen activated protein kinase 7",.0246476,.9592049,"Same"
"ENSMUSG00000001036","epn2","epsin 2",.0021677,.9592049,"Same"
"ENSMUSG00000001039","b9d1","b9 protein domain 1",1.77053,.0011064,"Different"
"ENSMUSG00000001052","sec24b","sec24 related gene family member b s cerevisiae ",.051617,.9547272,"Same"
"ENSMUSG00000001054","rmnd5b","required for meiotic nuclear division 5 homolog b",.4661467,.8746549,"Same"
"ENSMUSG00000001062","vps9d1","vps9 domain containing 1",.4725213,.8600417,"Same"
"ENSMUSG00000001082","mfsd10","major facilitator superfamily domain containing 10",1.483354,.024247,"Different"
"ENSMUSG00000001089","luzp1","leucine zipper protein 1",.0005766,.9650449,"Same"
"ENSMUSG00000001098","kctd10","potassium channel tetramerisation domain containing 10",1.372783,.3996512,"Same"
"ENSMUSG00000001105","ift20","intraflagellar transport 20",1.202881,.2067861,"Same"
"ENSMUSG00000001120","pcbp3","poly rc binding protein 3",.0030583,.9592049,"Same"
"ENSMUSG00000001127","araf","araf proto oncogene serine/threonine kinase",1.475765,3.07e-08,"Different"
"ENSMUSG00000001138","cnnm3","cyclin m3",1.677302,.0064965,"Different"
"ENSMUSG00000001143","lman2l","lectin mannose binding 2 like",1.363456,.0002087,"Different"
"ENSMUSG00000001150","mcm3ap","minichromosome maintenance complex component 3 associated protein",1.30917,.4858001,"Same"
"ENSMUSG00000001151","pcnt","pericentrin kendrin ",.0659969,.9375608,"Same"
"ENSMUSG00000001157","gmcl1","germ cell less spermatogenesis associated 1",.0150169,.9592049,"Same"
"ENSMUSG00000001175","calm1","calmodulin 1",.8730018,.7028089,"Same"
"ENSMUSG00000001211","agpat3","1 acylglycerol 3 phosphate o acyltransferase 3",.0049979,.9592049,"Same"
"ENSMUSG00000001227","sema6b","sema domain transmembrane domain tm and cytoplasmic domain semaphorin 6b",.252403,.8990195,"Same"
"ENSMUSG00000001229","dpp9","dipeptidylpeptidase 9",1.602379,.1085836,"Same"
"ENSMUSG00000001247","lsr","lipolysis stimulated lipoprotein receptor",1.80468,.1356765,"Same"
"ENSMUSG00000001248","gramd1a","gram domain containing 1a",.2289466,.8776925,"Same"
"ENSMUSG00000001260","gabrg1","gamma aminobutyric acid gaba a receptor subunit gamma 1",.024416,.9592049,"Same"
"ENSMUSG00000001280","sp1","trans acting transcription factor 1",3.97e-06,.9668809,"Same"
"ENSMUSG00000001285","myg1","melanocyte proliferating gene 1",1.433584,1.10e-08,"Different"
"ENSMUSG00000001288","rarg","retinoic acid receptor gamma",.0139388,.9592049,"Same"
"ENSMUSG00000001289","pfdn5","prefoldin 5",1.394429,.0190591,"Different"
"ENSMUSG00000001300","efnb2","ephrin b2",.1758781,.8930278,"Same"
"ENSMUSG00000001305","rrp15","ribosomal rna processing 15 homolog s cerevisiae ",.0100432,.9592049,"Same"
"ENSMUSG00000001323","srr","serine racemase",1.707693,.0014651,"Different"
"ENSMUSG00000001366","fbxo9","f box protein 9",.0398808,.8776925,"Same"
"ENSMUSG00000001380","hars","histidyl trna synthetase",.3893109,.8626057,"Same"
"ENSMUSG00000001383","zmat2","zinc finger matrin type 2",.6008215,.7762938,"Same"
"ENSMUSG00000001403","ube2c","ubiquitin conjugating enzyme e2c",.0018993,.9615534,"Same"
"ENSMUSG00000001415","smg5","smg 5 homolog nonsense mediated mrna decay factor c elegans ",.5527466,.6139289,"Same"
"ENSMUSG00000001416","cct3","chaperonin containing tcp1 subunit 3 gamma ",.0093206,.9593371,"Same"
"ENSMUSG00000001418","glmp","glycosylated lysosomal membrane protein",.0088328,.9596648,"Same"
"ENSMUSG00000001419","mef2d","myocyte enhancer factor 2d",.3593724,.8772232,"Same"
"ENSMUSG00000001424","snd1","staphylococcal nuclease and tudor domain containing 1",.1297235,.9073914,"Same"
"ENSMUSG00000001435","col18a1","collagen type xviii alpha 1",1.545786,.3915894,"Same"
"ENSMUSG00000001440","kpnb1","karyopherin importin beta 1",.0768663,.9592049,"Same"
"ENSMUSG00000001445","mrpl10","mitochondrial ribosomal protein l10",1.382227,.4897502,"Same"
"ENSMUSG00000001473","tubb6","tubulin beta 6 class v",.0001099,.9650449,"Same"
"ENSMUSG00000001482","def8","differentially expressed in fdcp 8",.057678,.9270103,"Same"
"ENSMUSG00000001496","nkx2-1","nk2 homeobox 1",.0850277,.9464073,"Same"
"ENSMUSG00000001506","col1a1","collagen type i alpha 1",.7714111,.6699971,"Same"
"ENSMUSG00000001507","itga3","integrin alpha 3",.0016489,.9592049,"Same"
"ENSMUSG00000001510","dlx3","distal less homeobox 3",.0180878,.9592049,"Same"
"ENSMUSG00000001517","foxm1","forkhead box m1",.0000126,.9606673,"Same"
"ENSMUSG00000001518","itfg2","integrin alpha fg gap repeat containing 2",1.255107,.2036505,"Same"
"ENSMUSG00000001521","tulp3","tubby like protein 3",.000198,.9650449,"Same"
"ENSMUSG00000001525","tubb5","tubulin beta 5 class i",.0003375,.9592049,"Same"
"ENSMUSG00000001542","ell2","elongation factor rna polymerase ii 2",1.72067,.2162138,"Same"
"ENSMUSG00000001552","jup","junction plakoglobin",1.698418,.0078312,"Different"
"ENSMUSG00000001555","fkbp10","fk506 binding protein 10",.0814888,.9270103,"Same"
"ENSMUSG00000001569","nom1","nucleolar protein with mif4g domain 1",1.760304,.1180588,"Same"
"ENSMUSG00000001576","ergic1","endoplasmic reticulum golgi intermediate compartment ergic 1",1.684991,.0048002,"Different"
"ENSMUSG00000001627","ifrd1","interferon related developmental regulator 1",1.153276,.0012627,"Different"
"ENSMUSG00000001630","stk38l","serine/threonine kinase 38 like",1.198427,.0735256,"Same"
"ENSMUSG00000001632","brpf1","bromodomain and phd finger containing 1",1.06764,.6384127,"Same"
"ENSMUSG00000001642","akr1b3","aldo keto reductase family 1 member b3 aldose reductase ",.006803,.9592049,"Same"
"ENSMUSG00000001674","ddx18","dead asp glu ala asp box polypeptide 18",.0076636,.9592049,"Same"
"ENSMUSG00000001687","ubl3","ubiquitin like 3",1.525196,.3944487,"Same"
"ENSMUSG00000001700","gramd3","gram domain containing 3",1.212284,.5802337,"Same"
"ENSMUSG00000001729","akt1","thymoma viral proto oncogene 1",.0598968,.8916107,"Same"
"ENSMUSG00000001761","smo","smoothened frizzled class receptor",.00046,.9662455,"Same"
"ENSMUSG00000001763","tspan33","tetraspanin 33",.0001507,.9589758,"Same"
"ENSMUSG00000001767","crnkl1","crooked neck pre mrna splicing factor 1",1.59864,.342218,"Same"
"ENSMUSG00000001773","folh1","folate hydrolase 1",.0223924,.9375608,"Same"
"ENSMUSG00000001783","rtcb","rna 2' 3' cyclic phosphate and 5' oh ligase",.9285958,.7086747,"Same"
"ENSMUSG00000001785","pwp1","pwp1 homolog endonuclein",1.343698,.0030078,"Different"
"ENSMUSG00000001786","fbxo7","f box protein 7",1.647108,.2109586,"Same"
"ENSMUSG00000001794","capns1","calpain small subunit 1",.1261428,.9491853,"Same"
"ENSMUSG00000001833","sept7","septin 7",.07681,.9592049,"Same"
"ENSMUSG00000001844","zdhhc4","zinc finger dhhc domain containing 4",1.404862,.0000112,"Different"
"ENSMUSG00000001847","rac1","rac family small gtpase 1",.6955045,.6652126,"Same"
"ENSMUSG00000001855","nup214","nucleoporin 214",.0580794,.9592049,"Same"
"ENSMUSG00000001870","ltbp1","latent transforming growth factor beta binding protein 1",.0056711,.9592049,"Same"
"ENSMUSG00000001891","ugp2","udp glucose pyrophosphorylase 2",.003858,.9592049,"Same"
"ENSMUSG00000001910","nacc1","nucleus accumbens associated 1 ben and btb poz domain containing",1.181789,.2215979,"Same"
"ENSMUSG00000001911","nfix","nuclear factor i/x",.1297055,.933173,"Same"
"ENSMUSG00000001918","slc1a5","solute carrier family 1 neutral amino acid transporter member 5",.0034346,.9617683,"Same"
"ENSMUSG00000001924","uba1","ubiquitin like modifier activating enzyme 1",.0057087,.9268676,"Same"
"ENSMUSG00000001942","siae","sialic acid acetylesterase",.1095293,.9517055,"Same"
"ENSMUSG00000001948","spa17","sperm autoantigenic protein 17",1.688558,.0432726,"Different"
"ENSMUSG00000001962","fam50a","family with sequence similarity 50 member a",1.568551,2.49e-08,"Different"
"ENSMUSG00000001983","taco1","translational activator of mitochondrially encoded cytochrome c oxidase i",1.252398,.1837822,"Same"
"ENSMUSG00000001985","grik3","glutamate receptor ionotropic kainate 3",.4441631,.8417149,"Same"
"ENSMUSG00000001986","gria3","glutamate receptor ionotropic ampa3 alpha 3 ",.0773658,.9502185,"Same"
"ENSMUSG00000001988","npas1","neuronal pas domain protein 1",.1315051,.9032828,"Same"
"ENSMUSG00000001998","ap4e1","adaptor related protein complex ap 4 epsilon 1",1.411844,.0334032,"Different"
"ENSMUSG00000001999","blvra","biliverdin reductase a",.2935868,.891132,"Same"
"ENSMUSG00000002006","pdzd4","pdz domain containing 4",1.620868,.2720575,"Same"
"ENSMUSG00000002007","srpk3","serine/arginine rich protein specific kinase 3",.000287,.9592049,"Same"
"ENSMUSG00000002010","idh3g","isocitrate dehydrogenase 3 nad+ gamma",1.200393,.5624378,"Same"
"ENSMUSG00000002012","pnck","pregnancy upregulated non ubiquitously expressed cam kinase",1.155298,.3587089,"Same"
"ENSMUSG00000002015","bcap31","b cell receptor associated protein 31",1.865435,.1336789,"Same"
"ENSMUSG00000002017","fam98a","family with sequence similarity 98 member a",1.854211,.0017944,"Different"
"ENSMUSG00000002028","kmt2a","lysine k specific methyltransferase 2a",1.430923,.0598243,"Same"
"ENSMUSG00000002031","ift46","intraflagellar transport 46",1.852108,5.71e-06,"Different"
"ENSMUSG00000002032","tmem25","transmembrane protein 25",.3931873,.8776925,"Same"
"ENSMUSG00000002043","trappc6a","trafficking protein particle complex 6a",1.345806,.054676,"Same"
"ENSMUSG00000002059","rab34","rab34 member ras oncogene family",1.263982,.014878,"Different"
"ENSMUSG00000002064","sdf2","stromal cell derived factor 2",.0260602,.9592049,"Same"
"ENSMUSG00000002068","ccne1","cyclin e1",.0016786,.9644368,"Same"
"ENSMUSG00000002103","acp2","acid phosphatase 2 lysosomal",1.511454,.3958131,"Same"
"ENSMUSG00000002107","celf2","cugbp elav like family member 2",.0042974,.9592049,"Same"
"ENSMUSG00000002108","nr1h3","nuclear receptor subfamily 1 group h member 3",.3201555,.8670232,"Same"
"ENSMUSG00000002109","ddb2","damage specific dna binding protein 2",1.845976,9.59e-09,"Different"
"ENSMUSG00000002111","spi1","spleen focus forming virus sffv proviral integration oncogene",.3139991,.8927879,"Same"
"ENSMUSG00000002129","sf3a1","splicing factor 3a subunit 1",.0682066,.9592049,"Same"
"ENSMUSG00000002147","stat6","signal transducer and activator of transcription 6",1.154068,.5949851,"Same"
"ENSMUSG00000002190","clgn","calmegin",1.499647,3.24e-08,"Different"
"ENSMUSG00000002221","paxip1","pax interacting with transcription activation domain protein 1",.7778448,.7028089,"Same"
"ENSMUSG00000002222","rmnd5a","required for meiotic nuclear division 5 homolog a",.3688031,.8319705,"Same"
"ENSMUSG00000002249","tead3","tea domain family member 3",.2635357,.8851597,"Same"
"ENSMUSG00000002250","ppard","peroxisome proliferator activator receptor delta",.0076825,.9593371,"Same"
"ENSMUSG00000002257","def6","differentially expressed in fdcp 6",1.559356,.0004406,"Different"
"ENSMUSG00000002265","peg3","paternally expressed 3",1.569119,.0048554,"Different"
"ENSMUSG00000002279","lmf1","lipase maturation factor 1",.0061577,.9592049,"Same"
"ENSMUSG00000002289","angptl4","angiopoietin like 4",1.268742,1.76e-06,"Different"
"ENSMUSG00000002297","dbf4","dbf4 zinc finger",.0003021,.9668176,"Same"
"ENSMUSG00000002307","daxx","fas death domain associated protein",.0037271,.9592049,"Same"
"ENSMUSG00000002326","gmpr2","guanosine monophosphate reductase 2",1.18556,.0038909,"Different"
"ENSMUSG00000002332","dhrs1","dehydrogenase/reductase sdr family member 1",1.602299,.0492734,"Different"
"ENSMUSG00000002341","ncan","neurocan",.003832,.9592049,"Same"
"ENSMUSG00000002343","armc6","armadillo repeat containing 6",1.798119,.0018417,"Different"
"ENSMUSG00000002346","slc25a42","solute carrier family 25 member 42",.0025951,.9592049,"Same"
"ENSMUSG00000002365","snx9","sorting nexin 9",1.542823,.0154495,"Different"
"ENSMUSG00000002393","nr2f6","nuclear receptor subfamily 2 group f member 6",1.153911,.595206,"Same"
"ENSMUSG00000002396","ocel1","occludin/ell domain containing 1",1.61051,.3111647,"Same"
"ENSMUSG00000002416","ndufb2","nadh:ubiquinone oxidoreductase subunit b2",1.040143,.6470083,"Same"
"ENSMUSG00000002428","hltf","helicase like transcription factor",.3061168,.8930278,"Same"
"ENSMUSG00000002455","prpf6","pre mrna splicing factor 6",1.808521,.0013977,"Different"
"ENSMUSG00000002459","rgs20","regulator of g protein signaling 20",.2134089,.9045464,"Same"
"ENSMUSG00000002477","snrpd1","small nuclear ribonucleoprotein d1",.0025381,.9615534,"Same"
"ENSMUSG00000002486","tchp","trichoplein keratin filament binding",1.046442,.0136804,"Different"
"ENSMUSG00000002489","tiam1","t cell lymphoma invasion and metastasis 1",1.079548,.3242502,"Same"
"ENSMUSG00000002504","slc9a3r2","solute carrier family 9 sodium/hydrogen exchanger member 3 regulator 2",.6789716,.8237354,"Same"
"ENSMUSG00000002578","ikzf4","ikaros family zinc finger 4",1.371563,.0194953,"Different"
"ENSMUSG00000002580","mien1","migration and invasion enhancer 1",.0128331,.9592049,"Same"
"ENSMUSG00000002608","ccdc97","coiled coil domain containing 97",.7247918,.3047121,"Same"
"ENSMUSG00000002625","akap8l","a kinase prka anchor protein 8 like",1.66076,.0199412,"Different"
"ENSMUSG00000002633","shh","sonic hedgehog",.008708,.9592049,"Same"
"ENSMUSG00000002679","med6","mediator complex subunit 6",.7013738,.8105364,"Same"
"ENSMUSG00000002688","prkd1","protein kinase d1",.1042231,.9122854,"Same"
"ENSMUSG00000002699","lcp2","lymphocyte cytosolic protein 2",.0181126,.9592049,"Same"
"ENSMUSG00000002718","cse1l","chromosome segregation 1 like s cerevisiae ",.2943422,.8854239,"Same"
"ENSMUSG00000002728","naa20","n alpha acetyltransferase 20 natb catalytic subunit",.7982384,.7542686,"Same"
"ENSMUSG00000002732","fkbp7","fk506 binding protein 7",1.389018,.2602905,"Same"
"ENSMUSG00000002733","plekha3","pleckstrin homology domain containing family a phosphoinositide binding specific member 3",1.458091,.4118537,"Same"
"ENSMUSG00000002741","ykt6","ykt6 v snare homolog s cerevisiae ",1.407447,.230205,"Same"
"ENSMUSG00000002748","baz1b","bromodomain adjacent to zinc finger domain 1b",.0030806,.9603889,"Same"
"ENSMUSG00000002767","mrpl2","mitochondrial ribosomal protein l2",1.804807,.0063829,"Different"
"ENSMUSG00000002768","mea1","male enhanced antigen 1",1.582324,.0804088,"Same"
"ENSMUSG00000002778","kdelr1","kdel lys asp glu leu endoplasmic reticulum protein retention receptor 1",.6526735,.6418115,"Same"
"ENSMUSG00000002781","tmem143","transmembrane protein 143",.5878485,.6573017,"Same"
"ENSMUSG00000002799","jag2","jagged 2",.7720113,.7310839,"Same"
"ENSMUSG00000002803","btbd6","btb poz domain containing 6",9.83e-06,.9592049,"Same"
"ENSMUSG00000002804","nudt14","nudix nucleoside diphosphate linked moiety x type motif 14",1.69275,2.33e-08,"Different"
"ENSMUSG00000002808","epdr1","ependymin related protein 1 zebrafish ",.0000686,.9650449,"Same"
"ENSMUSG00000002812","flii","flightless i actin binding protein",1.174509,.0606393,"Same"
"ENSMUSG00000002814","top3a","topoisomerase dna iii alpha",.0014751,.9605781,"Same"
"ENSMUSG00000002833","hdgfl2","hdgf like 2",.8235439,.6583181,"Same"
"ENSMUSG00000002835","chaf1a","chromatin assembly factor 1 subunit a p150 ",.0076288,.9600178,"Same"
"ENSMUSG00000002845","tmem39a","transmembrane protein 39a",.007133,.9593371,"Same"
"ENSMUSG00000002846","timmdc1","translocase of inner mitochondrial membrane domain containing 1",1.019767,.0114642,"Different"
"ENSMUSG00000002870","mcm2","minichromosome maintenance complex component 2",2.42e-06,.9670345,"Same"
"ENSMUSG00000002881","nab1","ngfi a binding protein 1",1.398069,7.65e-06,"Different"
"ENSMUSG00000002897","il17ra","interleukin 17 receptor a",.2056897,.9237947,"Same"
"ENSMUSG00000002900","lamb1","laminin b1",1.599404,.0061909,"Different"
"ENSMUSG00000002910","arrdc2","arrestin domain containing 2",.8413676,.7562043,"Same"
"ENSMUSG00000002930","ppp1r17","protein phosphatase 1 regulatory subunit 17",1.368771,.0008733,"Different"
"ENSMUSG00000002957","ap2a2","adaptor related protein complex 2 alpha 2 subunit",.2583945,.8777241,"Same"
"ENSMUSG00000002968","med25","mediator complex subunit 25",1.495625,.309781,"Same"
"ENSMUSG00000002980","bcam","basal cell adhesion molecule",.3162374,.8745147,"Same"
"ENSMUSG00000002981","clptm1","cleft lip and palate associated transmembrane protein 1",.0111539,.8832573,"Same"
"ENSMUSG00000002983","relb","avian reticuloendotheliosis viral v rel oncogene related b",.1661347,.908334,"Same"
"ENSMUSG00000002985","apoe","apolipoprotein e",.6730504,.8280004,"Same"
"ENSMUSG00000002996","hbp1","high mobility group box transcription factor 1",.7188895,.7601573,"Same"
"ENSMUSG00000002997","prkar2b","protein kinase camp dependent regulatory type ii beta",.0006161,.9592049,"Same"
"ENSMUSG00000003031","cdkn1b","cyclin dependent kinase inhibitor 1b",1.544931,.2692173,"Same"
"ENSMUSG00000003037","rab8a","rab8a member ras oncogene family",.0043369,.9592049,"Same"
"ENSMUSG00000003070","efna2","ephrin a2",1.096176,.6029491,"Same"
"ENSMUSG00000003072","atp5d","atp synthase h+ transporting mitochondrial f1 complex delta subunit",.0066789,.9592049,"Same"
"ENSMUSG00000003119","cdk12","cyclin dependent kinase 12",.0971288,.9592049,"Same"
"ENSMUSG00000003134","tbc1d8","tbc1 domain family member 8",.7884796,.7653651,"Same"
"ENSMUSG00000003135","cnot11","ccr4 not transcription complex subunit 11",.3012956,.8501887,"Same"
"ENSMUSG00000003154","foxj2","forkhead box j2",1.231305,.0438802,"Different"
"ENSMUSG00000003161","sri","sorcin",.0830744,.9592049,"Same"
"ENSMUSG00000003190","bcl2l12","bcl2 like 12 proline rich ",.069018,.9592049,"Same"
"ENSMUSG00000003206","ebi3","epstein barr virus induced gene 3",1.528936,.0092122,"Different"
"ENSMUSG00000003226","ranbp2","ran binding protein 2",.2736559,.8473017,"Same"
"ENSMUSG00000003233","dvl3","dishevelled segment polarity protein 3",.605468,.7773136,"Same"
"ENSMUSG00000003234","abcf3","atp binding cassette sub family f gcn20 member 3",.2360798,.8915315,"Same"
"ENSMUSG00000003269","cyth2","cytohesin 2",.0366778,.9592049,"Same"
"ENSMUSG00000003273","car11","carbonic anhydrase 11",1.621887,.3060544,"Same"
"ENSMUSG00000003279","dlgap1","dlg associated protein 1",.001422,.9593371,"Same"
"ENSMUSG00000003282","plag1","pleiomorphic adenoma gene 1",.0137028,.9592049,"Same"
"ENSMUSG00000003346","abhd17a","abhydrolase domain containing 17a",.1355842,.9183339,"Same"
"ENSMUSG00000003348","mob3a","mob kinase activator 3a",1.032964,.595206,"Same"
"ENSMUSG00000003352","cacnb3","calcium channel voltage dependent beta 3 subunit",.8871034,.712189,"Same"
"ENSMUSG00000003354","ccdc65","coiled coil domain containing 65",1.220335,.0075411,"Different"
"ENSMUSG00000003360","ddx23","dead asp glu ala asp box polypeptide 23",.0603408,.9592049,"Same"
"ENSMUSG00000003363","pld3","phospholipase d family member 3",.5811087,.8371018,"Same"
"ENSMUSG00000003378","grik5","glutamate receptor ionotropic kainate 5 gamma 2 ",1.157196,.5826269,"Same"
"ENSMUSG00000003380","rabac1","rab acceptor 1 prenylated ",.0210946,.90753,"Same"
"ENSMUSG00000003410","elavl3","elav like rna binding protein 3",.0064639,.9592049,"Same"
"ENSMUSG00000003429","rps11","ribosomal protein s11",1.601932,.0775857,"Same"
"ENSMUSG00000003436","dll3","delta like canonical notch ligand 3",1.686463,.0023463,"Different"
"ENSMUSG00000003444","med29","mediator complex subunit 29",1.294638,1.92e-07,"Different"
"ENSMUSG00000003452","bicd1","bicd cargo adaptor 1",1.375015,.0004789,"Different"
